,Image Time Start,Image Time End,MAC,Image,Status
0,2018-08-01 16:44:00,2018-08-01 16:53:45,00:0c:29:9d:9e:9e,1,0
1,2018-08-01 16:54:00,2018-08-01 17:03:45,00:0c:29:9d:9e:9e,2,0
2,2018-08-01 17:04:00,2018-08-01 17:13:45,00:0c:29:9d:9e:9e,3,0
3,2018-08-01 16:44:00,2018-08-01 16:53:45,48:5b:39:64:40:79,1,0
4,2018-08-01 16:54:00,2018-08-01 17:03:45,48:5b:39:64:40:79,2,0
5,2018-08-01 17:04:00,2018-08-01 17:13:45,48:5b:39:64:40:79,3,0
6,2018-08-01 16:44:00,2018-08-01 16:53:45,00:80:f4:09:51:3b,1,0
7,2018-08-01 16:54:00,2018-08-01 17:03:45,00:80:f4:09:51:3b,2,0
8,2018-08-01 17:04:00,2018-08-01 17:13:45,00:80:f4:09:51:3b,3,0
9,2018-08-01 16:49:00,2018-08-01 16:53:45,00:0c:29:e6:14:0d,1,1
