,Image Time Start,Image Time End,MAC,Image,Status
0,2018-08-24 00:16:15,2018-08-24 00:26:00,00:0c:29:9d:9e:9e,1,0
1,2018-08-24 00:26:15,2018-08-24 00:36:00,00:0c:29:9d:9e:9e,2,0
2,2018-08-24 00:36:15,2018-08-24 00:46:00,00:0c:29:9d:9e:9e,3,0
3,2018-08-24 00:46:15,2018-08-24 00:56:00,00:0c:29:9d:9e:9e,4,0
4,2018-08-24 00:56:15,2018-08-24 01:06:00,00:0c:29:9d:9e:9e,5,0
5,2018-08-24 01:06:15,2018-08-24 01:16:00,00:0c:29:9d:9e:9e,6,0
6,2018-08-24 00:16:15,2018-08-24 00:26:00,00:80:f4:09:51:3b,1,0
7,2018-08-24 00:26:15,2018-08-24 00:36:00,00:80:f4:09:51:3b,2,0
8,2018-08-24 00:36:15,2018-08-24 00:46:00,00:80:f4:09:51:3b,3,0
9,2018-08-24 00:46:15,2018-08-24 00:56:00,00:80:f4:09:51:3b,4,0
10,2018-08-24 00:56:15,2018-08-24 01:06:00,00:80:f4:09:51:3b,5,0
11,2018-08-24 01:06:15,2018-08-24 01:16:00,00:80:f4:09:51:3b,6,0
12,2018-08-24 00:16:15,2018-08-24 00:26:00,48:5b:39:64:40:79,1,0
13,2018-08-24 00:26:15,2018-08-24 00:36:00,48:5b:39:64:40:79,2,0
14,2018-08-24 00:36:15,2018-08-24 00:46:00,48:5b:39:64:40:79,3,0
15,2018-08-24 00:46:15,2018-08-24 00:56:00,48:5b:39:64:40:79,4,0
16,2018-08-24 00:56:15,2018-08-24 01:06:00,48:5b:39:64:40:79,5,0
17,2018-08-24 01:06:15,2018-08-24 01:16:00,48:5b:39:64:40:79,6,0
18,2018-08-24 00:21:15,2018-08-24 00:31:00,00:0c:29:e6:14:0d,1,0
19,2018-08-24 00:31:15,2018-08-24 00:36:00,00:0c:29:e6:14:0d,2,0
